"seen_total","last.seen","survey_type","engagement","engagement_1","engagement_2","engagement_3","quiz_answer","demo_gender","demo_age","demo_asked","demo_school","demo_media","question_2_pre","question_6_pre","question_4_pre","question_1_pre","question_3_pre","question_5_pre","question_2_post","question_3_post","question_6_post","question_5_post","question_1_post","question_4_post","finished_post"
NA,"2021-05-11 16:16:51","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 16:16:42","continuous",1,"Yes","Yes","Yes","C","","",NA,"","","3","4","7","7","1","1","","","","","","",FALSE
6,"2021-05-11 16:15:04","continuous",1,"Yes","Yes","","","","",NA,"","","1","1","1","4","1","3","","","","","","",FALSE
NA,"2021-05-11 16:14:08","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 16:12:55","continuous",0,"","","","","","",NA,"","","1","2","3","1","3","1","","","","","","",FALSE
6,"2021-05-11 16:09:48","continuous",1,"Yes","","","","","",NA,"","","1","4","4","7","7","5","","","","","","",FALSE
0,"2021-05-11 16:07:55","days",0,"","","","","","",NA,"","","1","3","1","1","7","1","","","","","","",FALSE
0,"2021-05-11 16:07:38","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
1,"2021-05-11 16:05:50","",NA,"","","","","","",NA,"","","","","","1","","","","","","","","",FALSE
6,"2021-05-11 16:05:12","continuous",0,"","","","","","",NA,"","","3","4","5","2","3","3","","","","","","",FALSE
6,"2021-05-11 16:04:50","continuous",1,"","","","","","",NA,"","","1","1","3","1","6","2","","","","","","",FALSE
0,"2021-05-11 16:04:47","continuous",1,"Yes","No","Yes","B","","",NA,"","","3","3","4","3","2","2","","","","","","",FALSE
0,"2021-05-11 16:04:37","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 16:04:17","continuous",0,"","","","","","",NA,"","","5","2","2","1","2","1","","","","","","",FALSE
0,"2021-05-11 16:03:48","continuous",1,"Yes","No","Yes","A","","",NA,"","","2","4","2","1","6","4","","","","","","",FALSE
